id,precipitation (mm/yr),w,B,Q (kg/s),A (km^2),R (km),T(C),Qs (MT/y),Qs (T/y),density (kg/m^3),volume (m^3/yr),erosion (m/yr),erosion (mm/yr),fault_id,distance
0,61.0,0.0006,1,22.61583529781505,0.6192579444440941,0.169,23.041667175292968,0.03272171620723734,32721.716207237343,2700,12.119154150828646,1.9570445982260224e-05,0.019570445982260223,0,2753.70401485
2,118.6470588235294,0.0006,1,108.48915822655756,5.568685668993144,1.809,17.101307259353938,11.213938528379519,11213938.528379519,2700,4153.310566066489,0.0007458331845146927,0.7458331845146927,0,3934.40691032
3,114.97222222222223,0.0006,1,96.31280955244175,4.668678235650438,1.926,17.07152773539225,8.870700500952037,8870700.500952037,2700,3285.444629982236,0.0007037205102065703,0.7037205102065702,0,3542.26035761
5,61.5,0.0006,1,28.875796569579634,0.9146657128603762,0.153,22.62916717529297,0.05486654650492747,54866.54650492747,2700,20.320943149973136,2.2216797748354133e-05,0.022216797748354132,0,5394.76780283
6,68.0,0.0006,1,34.08622878919963,1.1367032022485322,0.242,21.854166412353514,0.12294953775144023,122949.53775144022,2700,45.53686583386675,4.006047114478915e-05,0.04006047114478915,0,5695.73910603
7,102.79591836734694,0.0006,1,105.48085947952754,5.717357999198864,1.763,18.175850350516182,11.594909087059136,11594909.087059136,2700,4294.410772984866,0.0007511180467598169,0.7511180467598169,0,6260.01399756
8,67.75,0.0006,1,37.605010666796154,1.3343330627859722,0.237,21.875,0.15608372517954153,156083.72517954154,2700,57.8087871035339,4.332410603903807e-05,0.04332410603903807,0,7757.54528341
9,74.5,0.0006,1,47.831527398678055,1.8755921001974314,0.449,21.095833587646485,0.5098552863043975,509855.28630439745,2700,188.8352912238509,0.00010068036179293645,0.10068036179293645,0,7899.72584274
10,71.0,0.0006,1,35.833881826401836,1.2058586461181229,0.356,21.570833587646483,0.19909412076879646,199094.12076879645,2700,73.73856324770239,6.115025462153476e-05,0.06115025462153476,0,8166.64935931
13,120.88888888888889,0.0006,1,117.18215584891105,6.247124594795844,1.777,16.740740736704023,13.066371450077217,13066371.450077217,2700,4839.396833361932,0.0007746598871092444,0.7746598871092444,0,9237.05143972
14,65.0,0.0006,1,24.64854192375757,0.6892359032580561,0.246,22.225,0.055729770336976854,55729.77033697686,2700,20.6406556803618,2.9947156819301322e-05,0.029947156819301324,0,13408.1842861
15,98.0,0.0006,1,80.9113653396148,3.817874845001443,1.785,18.566666620427913,6.142633833215818,6142633.833215818,2700,2275.0495678577104,0.0005958942239388287,0.5958942239388286,0,14389.8477701
18,76.4,0.0006,1,44.01928071013045,1.6199079005639387,0.736,20.71499969482422,0.6522998238760721,652299.8238760721,2700,241.59252736150816,0.00014913966854375024,0.14913966854375024,0,17962.8963635
19,108.53333333333333,0.0006,1,71.73377936634472,2.987591338212655,1.618,17.577222188313804,3.6569996142237557,3656999.614223756,2700,1354.444301564354,0.0004533566168305531,0.45335661683055306,0,18275.9149434
20,88.0,0.0006,1,55.04578853792359,2.164602600714555,1.114,19.397222137451173,1.5448213180110923,1544821.3180110923,2700,572.1560437078119,0.00026432382716298043,0.2643238271629804,0,18570.2743847
21,72.66666666666667,0.0006,1,40.23543568192416,1.43684837925579,0.533,21.283333333333335,0.3934936760616326,393493.6760616326,2700,145.7383985413454,0.00010142921177029829,0.10142921177029829,0,19398.551759
22,69.0,0.0006,1,26.71077331436412,0.7615223444026773,0.373,21.633332824707033,0.09848104005607987,98481.04005607987,2700,36.474459280029585,4.7896768293305186e-05,0.047896768293305185,0,20760.6311829
23,86.33333333333333,0.0006,1,41.762989360062136,1.399879678502902,0.521,19.555555725097655,0.3573891984480034,357389.1984480034,2700,132.3663697955568,9.455553347064493e-05,0.09455553347064492,0,20913.3456965
